Topics,Alpha,Eta,Coherence
2,0.01,0.01,0.29736411932899276
2,0.01,0.31,0.29736411932899276
2,0.01,0.61,0.29736411932899276
2,0.01,0.9099999999999999,0.29736411932899276
2,0.01,symmetric,0.29736411932899276
2,0.31,0.01,0.29736411932899276
2,0.31,0.31,0.29736411932899276
2,0.31,0.61,0.29736411932899276
2,0.31,0.9099999999999999,0.29736411932899276
2,0.31,symmetric,0.29736411932899276
2,0.61,0.01,0.29736411932899276
2,0.61,0.31,0.29736411932899276
2,0.61,0.61,0.29736411932899276
2,0.61,0.9099999999999999,0.29736411932899276
2,0.61,symmetric,0.29736411932899276
2,0.9099999999999999,0.01,0.29736411932899276
2,0.9099999999999999,0.31,0.29736411932899276
2,0.9099999999999999,0.61,0.29736411932899276
2,0.9099999999999999,0.9099999999999999,0.29736411932899276
2,0.9099999999999999,symmetric,0.29736411932899276
2,symmetric,0.01,0.29736411932899276
2,symmetric,0.31,0.29736411932899276
2,symmetric,0.61,0.29736411932899276
2,symmetric,0.9099999999999999,0.29736411932899276
2,symmetric,symmetric,0.29736411932899276
2,asymmetric,0.01,0.29736411932899276
2,asymmetric,0.31,0.29736411932899276
2,asymmetric,0.61,0.29736411932899276
2,asymmetric,0.9099999999999999,0.29736411932899276
2,asymmetric,symmetric,0.29736411932899276
3,0.01,0.01,0.3095644658091918
3,0.01,0.31,0.30408785509281805
3,0.01,0.61,0.3017709652451172
3,0.01,0.9099999999999999,0.28382426960014107
3,0.01,symmetric,0.30408785509281805
3,0.31,0.01,0.3095644658091918
3,0.31,0.31,0.30408785509281805
3,0.31,0.61,0.3017709652451172
3,0.31,0.9099999999999999,0.28382426960014107
3,0.31,symmetric,0.30408785509281805
3,0.61,0.01,0.3095644658091918
3,0.61,0.31,0.30408785509281805
3,0.61,0.61,0.3017709652451172
3,0.61,0.9099999999999999,0.28382426960014107
3,0.61,symmetric,0.30408785509281805
3,0.9099999999999999,0.01,0.3095644658091918
3,0.9099999999999999,0.31,0.30408785509281805
3,0.9099999999999999,0.61,0.3017709652451172
3,0.9099999999999999,0.9099999999999999,0.28382426960014107
3,0.9099999999999999,symmetric,0.30408785509281805
3,symmetric,0.01,0.3095644658091918
3,symmetric,0.31,0.30408785509281805
3,symmetric,0.61,0.3017709652451172
3,symmetric,0.9099999999999999,0.28382426960014107
3,symmetric,symmetric,0.30408785509281805
3,asymmetric,0.01,0.3095644658091918
3,asymmetric,0.31,0.30408785509281805
3,asymmetric,0.61,0.3017709652451172
3,asymmetric,0.9099999999999999,0.28382426960014107
3,asymmetric,symmetric,0.30408785509281805
4,0.01,0.01,0.2939612042639465
4,0.01,0.31,0.2898600497463453
4,0.01,0.61,0.296418836946241
4,0.01,0.9099999999999999,0.2681287638738364
4,0.01,symmetric,0.2939612042639465
4,0.31,0.01,0.2939612042639465
4,0.31,0.31,0.2898600497463453
4,0.31,0.61,0.29641883694624105
4,0.31,0.9099999999999999,0.2681287638738364
4,0.31,symmetric,0.2939612042639465
4,0.61,0.01,0.2939612042639465
4,0.61,0.31,0.2898600497463453
4,0.61,0.61,0.296418836946241
4,0.61,0.9099999999999999,0.2681287638738364
4,0.61,symmetric,0.2939612042639465
4,0.9099999999999999,0.01,0.2958282954354843
4,0.9099999999999999,0.31,0.2898600497463453
4,0.9099999999999999,0.61,0.296418836946241
4,0.9099999999999999,0.9099999999999999,0.2681287638738364
4,0.9099999999999999,symmetric,0.2939612042639465
4,symmetric,0.01,0.2939612042639465
4,symmetric,0.31,0.2898600497463453
4,symmetric,0.61,0.29641883694624105
4,symmetric,0.9099999999999999,0.2681287638738364
4,symmetric,symmetric,0.2939612042639465
4,asymmetric,0.01,0.2958282954354843
4,asymmetric,0.31,0.2898600497463453
4,asymmetric,0.61,0.296418836946241
4,asymmetric,0.9099999999999999,0.2681287638738364
4,asymmetric,symmetric,0.2869503945470016
5,0.01,0.01,0.3029873673967925
5,0.01,0.31,0.31123478952250777
5,0.01,0.61,0.3047170909015035
5,0.01,0.9099999999999999,0.2911451669148777
5,0.01,symmetric,0.3164389186947626
5,0.31,0.01,0.3029873673967925
5,0.31,0.31,0.31123478952250777
5,0.31,0.61,0.3047170909015035
5,0.31,0.9099999999999999,0.2911451669148777
5,0.31,symmetric,0.3164389186947626
5,0.61,0.01,0.3029873673967925
5,0.61,0.31,0.31123478952250777
5,0.61,0.61,0.3047170909015035
5,0.61,0.9099999999999999,0.2911451669148777
5,0.61,symmetric,0.3164389186947626
5,0.9099999999999999,0.01,0.3029873673967925
5,0.9099999999999999,0.31,0.31123478952250777
5,0.9099999999999999,0.61,0.3047170909015035
5,0.9099999999999999,0.9099999999999999,0.2911451669148777
5,0.9099999999999999,symmetric,0.3164389186947626
5,symmetric,0.01,0.3029873673967925
5,symmetric,0.31,0.31123478952250777
5,symmetric,0.61,0.3047170909015035
5,symmetric,0.9099999999999999,0.2911451669148777
5,symmetric,symmetric,0.3164389186947626
5,asymmetric,0.01,0.3029873673967925
5,asymmetric,0.31,0.31123478952250777
5,asymmetric,0.61,0.3047170909015035
5,asymmetric,0.9099999999999999,0.2911451669148777
5,asymmetric,symmetric,0.3164389186947626
6,0.01,0.01,0.3220437026463026
6,0.01,0.31,0.30421916822369804
6,0.01,0.61,0.2905250453021088
6,0.01,0.9099999999999999,0.2867642410696572
6,0.01,symmetric,0.32416532404531645
6,0.31,0.01,0.3220437026463026
6,0.31,0.31,0.30421916822369804
6,0.31,0.61,0.2905250453021088
6,0.31,0.9099999999999999,0.2867642410696572
6,0.31,symmetric,0.32416532404531645
6,0.61,0.01,0.3220437026463026
6,0.61,0.31,0.30421916822369804
6,0.61,0.61,0.2905250453021088
6,0.61,0.9099999999999999,0.2867642410696572
6,0.61,symmetric,0.32416532404531645
6,0.9099999999999999,0.01,0.3220437026463026
6,0.9099999999999999,0.31,0.30581306973598776
6,0.9099999999999999,0.61,0.2905250453021088
6,0.9099999999999999,0.9099999999999999,0.2867642410696572
6,0.9099999999999999,symmetric,0.32416532404531645
6,symmetric,0.01,0.3220437026463026
6,symmetric,0.31,0.30421916822369804
6,symmetric,0.61,0.2905250453021088
6,symmetric,0.9099999999999999,0.2867642410696572
6,symmetric,symmetric,0.32416532404531645
6,asymmetric,0.01,0.3220437026463026
6,asymmetric,0.31,0.30581306973598776
6,asymmetric,0.61,0.2905250453021088
6,asymmetric,0.9099999999999999,0.2867642410696572
6,asymmetric,symmetric,0.32416532404531645
7,0.01,0.01,0.3111957112112461
7,0.01,0.31,0.30044950824811867
7,0.01,0.61,0.28566670166225894
7,0.01,0.9099999999999999,0.2814690512090144
7,0.01,symmetric,0.3027062744826451
7,0.31,0.01,0.3111957112112461
7,0.31,0.31,0.30107554445795565
7,0.31,0.61,0.28566670166225894
7,0.31,0.9099999999999999,0.2814690512090144
7,0.31,symmetric,0.3027062744826451
7,0.61,0.01,0.3130650178778997
7,0.61,0.31,0.30107554445795565
7,0.61,0.61,0.28566670166225894
7,0.61,0.9099999999999999,0.2814690512090144
7,0.61,symmetric,0.3027062744826451
7,0.9099999999999999,0.01,0.3130650178778997
7,0.9099999999999999,0.31,0.30107554445795565
7,0.9099999999999999,0.61,0.28566670166225894
7,0.9099999999999999,0.9099999999999999,0.2817165780544516
7,0.9099999999999999,symmetric,0.3027062744826451
7,symmetric,0.01,0.3111957112112461
7,symmetric,0.31,0.30107554445795565
7,symmetric,0.61,0.28566670166225894
7,symmetric,0.9099999999999999,0.2814690512090144
7,symmetric,symmetric,0.3027062744826451
7,asymmetric,0.01,0.3111957112112461
7,asymmetric,0.31,0.30107554445795565
7,asymmetric,0.61,0.28566670166225894
7,asymmetric,0.9099999999999999,0.2814690512090144
7,asymmetric,symmetric,0.3027062744826451
8,0.01,0.01,0.30532079457510564
8,0.01,0.31,0.2993233147372402
8,0.01,0.61,0.28818055693027045
8,0.01,0.9099999999999999,0.2848116458009254
8,0.01,symmetric,0.3114013007975365
8,0.31,0.01,0.30532079457510564
8,0.31,0.31,0.3046422898875505
8,0.31,0.61,0.28818055693027045
8,0.31,0.9099999999999999,0.2848116458009254
8,0.31,symmetric,0.3114013007975365
8,0.61,0.01,0.30532079457510564
8,0.61,0.31,0.3060916642483521
8,0.61,0.61,0.28818055693027045
8,0.61,0.9099999999999999,0.2848116458009254
8,0.61,symmetric,0.3114013007975365
8,0.9099999999999999,0.01,0.30518642460642187
8,0.9099999999999999,0.31,0.31668864991514656
8,0.9099999999999999,0.61,0.28818055693027045
8,0.9099999999999999,0.9099999999999999,0.2848116458009254
8,0.9099999999999999,symmetric,0.3114013007975365
8,symmetric,0.01,0.30532079457510564
8,symmetric,0.31,0.2993233147372402
8,symmetric,0.61,0.28818055693027045
8,symmetric,0.9099999999999999,0.2848116458009254
8,symmetric,symmetric,0.3114013007975365
8,asymmetric,0.01,0.30532079457510564
8,asymmetric,0.31,0.2993233147372402
8,asymmetric,0.61,0.28818055693027045
8,asymmetric,0.9099999999999999,0.2848116458009254
8,asymmetric,symmetric,0.3114013007975365
9,0.01,0.01,0.3081028079318153
9,0.01,0.31,0.297013865026536
9,0.01,0.61,0.2814517664810212
9,0.01,0.9099999999999999,0.2705615594018338
9,0.01,symmetric,0.30504394269939583
9,0.31,0.01,0.3081028079318153
9,0.31,0.31,0.2997307625624272
9,0.31,0.61,0.2814517664810212
9,0.31,0.9099999999999999,0.2705615594018338
9,0.31,symmetric,0.30504394269939583
9,0.61,0.01,0.3081028079318153
9,0.61,0.31,0.2997307625624272
9,0.61,0.61,0.2814517664810212
9,0.61,0.9099999999999999,0.2705615594018338
9,0.61,symmetric,0.30504394269939583
9,0.9099999999999999,0.01,0.30735254608529705
9,0.9099999999999999,0.31,0.3035514476123158
9,0.9099999999999999,0.61,0.2814517664810212
9,0.9099999999999999,0.9099999999999999,0.2705615594018338
9,0.9099999999999999,symmetric,0.30504394269939583
9,symmetric,0.01,0.3081028079318153
9,symmetric,0.31,0.297013865026536
9,symmetric,0.61,0.2814517664810212
9,symmetric,0.9099999999999999,0.2705615594018338
9,symmetric,symmetric,0.30504394269939583
9,asymmetric,0.01,0.3081028079318153
9,asymmetric,0.31,0.297013865026536
9,asymmetric,0.61,0.2814517664810212
9,asymmetric,0.9099999999999999,0.2705615594018338
9,asymmetric,symmetric,0.30504394269939583
10,0.01,0.01,0.29802794122126797
10,0.01,0.31,0.2740451681021538
10,0.01,0.61,0.2768825577280788
10,0.01,0.9099999999999999,0.2707868817697456
10,0.01,symmetric,0.288416780696753
10,0.31,0.01,0.29802794122126797
10,0.31,0.31,0.2740451681021538
10,0.31,0.61,0.2768825577280788
10,0.31,0.9099999999999999,0.2707868817697456
10,0.31,symmetric,0.28805088705375625
10,0.61,0.01,0.29802794122126797
10,0.61,0.31,0.27339107219106407
10,0.61,0.61,0.2768825577280788
10,0.61,0.9099999999999999,0.2716852808354034
10,0.61,symmetric,0.28655992344640324
10,0.9099999999999999,0.01,0.29872927027031226
10,0.9099999999999999,0.31,0.2738731528869026
10,0.9099999999999999,0.61,0.2768825577280788
10,0.9099999999999999,0.9099999999999999,0.2716852808354034
10,0.9099999999999999,symmetric,0.2883518777479483
10,symmetric,0.01,0.29802794122126797
10,symmetric,0.31,0.2740451681021538
10,symmetric,0.61,0.2768825577280788
10,symmetric,0.9099999999999999,0.2707868817697456
10,symmetric,symmetric,0.288416780696753
10,asymmetric,0.01,0.29802794122126797
10,asymmetric,0.31,0.2740451681021538
10,asymmetric,0.61,0.2768825577280788
10,asymmetric,0.9099999999999999,0.2707868817697456
10,asymmetric,symmetric,0.288416780696753
